MENO,STRANA,POČET HLAS-SDOV
Robert Fico,SMER-SD,531528
Peter Pellegrini,HLAS-SD,337976
Michal Šimečka,PS,303423
Robert Kaliňák,SMER-SD,263045
Ľuboš Blaha,SMER-SD,220478
Juraj Blanár,SMER-SD,181636
Igor Matovič,OĽANO,178614
Denisa Saková,HLAS-SD,168453
Erik Kaliňák,SMER-SD,145018
Richard Raši,HLAS-SD,141234
Tibor Gašpar,SMER-SD,132119
Michal Truban,PS,122302
Erik Tomáš,HLAS-SD,115023
Lucia Plaváková,PS,105423
Milan Majerský,KDH,98827
Ladislav Kamenický,SMER-SD,85247
Richard Sulík,SaS,82048
Erika Jurinová,OĽANO,69638
Jaroslav Spišiak,PS,69354
Richard Takáč,SMER-SD,68842
Andrej Danko,SNS,68726
Tomáš Valášek,PS,66056
Tomáš Taraba,SNS,63883
Tamara Stohlová,PS,63103
Rudolf Huliak,SNS,58875
Mária Kolíková,SaS,53087
Peter Pollák,OĽANO,53005
Branislav Gröhling,SaS,48660
Vladimíra Marcinková,SaS,46095
Tomáš Drucker,HLAS-SD,43698
Jana Bittó Cigániková,SaS,39790
Irena Bihariová,PS,37849
Michal Sabo,PS,37275
Veronika Remišová,OĽANO,36292
František Mikloško,KDH,31629
Michal Šipoš,OĽANO,31466
Michal Kaliňák,HLAS-SD,30577
Zora Jaurová,PS,29704
Michal Wiezik,PS,29195
Jaroslav Baška,SMER-SD,28836
Lucia Kurilovská,HLAS-SD,28750
Oskar Dvořák,PS,28426
Gábor Grendel,OĽANO,28181
Martina Šimkovičová,SNS,27615
Matúš Šutaj Eštok,HLAS-SD,27093
Marek Krajčí,OĽANO,26787
Roman Michelko,SNS,25872
Ivan Ševčík,SNS,25639
Marián Viskupič,SaS,24785
Filip Kuffa,SNS,22664
Lukáš Bužo,OĽANO,21781
Roman Mikulec,OĽANO,21464
Marián Čaučík,KDH,21232
Štefan Kuffa,SNS,21159
Ingrid Kosová,PS,21040
Štefan Kišš,PS,20697
Viliam Tankó,OĽANO,20626
Branislav Becík,HLAS-SD,20260
Zuzana Dolinková,HLAS-SD,20153
Simona Petrík,PS,19636
Igor Janckulík,KDH,19462
Martina Holečková,KDH,19050
Tina Gažovičová,PS,18115
Ondrej Dostál,SaS,17703
Alojz Hlina,SaS,17402
Vladimír Ledecký,SaS,16300
Jozef Viskupič,OĽANO,15905
Jozef Hajko,KDH,15695
Ivan Štefunko,PS,15073
Ondrej Prostredník,PS,14369
Marián Kéry,SMER-SD,13728
Branislav Škripek,KDH,13640
Juraj Droba,SaS,13482
Peter Kotlár,SNS,13252
Tomáš Hellebrandt,PS,13194
Pavel Ľupták,SNS,13046
Tomáš Szalay,SaS,12811
Peter Stachura,KDH,12259
Ján Horecký,KDH,12252
Anežka Škopová,OĽANO,12233
František Majerský,KDH,12138
Ján Podmanický,SMER-SD,11729
Anna Záborská,OĽANO,11720
Martin Šmilňák,KDH,11170
Jozef Pročko,OĽANO,11059
Beáta Jurík,PS,11033
Ľubomír Galko,OĽANO,10974
Andrea Turčanová,KDH,10373
Zuzana Mesterová,PS,10200
Ján Richter,SMER-SD,10161
Richard Vašečka,OĽANO,10112
Ján Hargaš,PS,9748
Zuzana Števulová,PS,8538
Ľubica Laššáková,HLAS-SD,8308
Viliam Zahorčák,SMER-SD,8246
Marián Saloň,SMER-SD,7601
Martin Dubéci,PS,6647
Jana Vaľová,SMER-SD,6303
Igor Choma,SMER-SD,6291
Dana Kleinert,PS,6095
Zuzana Matejičková,SMER-SD,6053
Jana Hanuliaková,PS,5730
Peter Žiga,HLAS-SD,5685
Dušan Jarjabek,SMER-SD,5606
Ján Blcháč,HLAS-SD,5580
Richard Eliáš,HLAS-SD,5517
Dušan Tittel,HLAS-SD,5370
Darina Luščíková,PS,5348
Ján Ferenčák,HLAS-SD,4894
Jozef Ježík,SMER-SD,4565
Veronika Veslárová,PS,4473
Igor Šimko,HLAS-SD,4152
Vladimír Baláž,SMER-SD,4082
Roman Malatinec,HLAS-SD,3951
Peter Šuca,SMER-SD,3841
Karol Janas,HLAS-SD,3717
Daniel Karas,SMER-SD,3296
Róbert Puci,HLAS-SD,3236
Peter Kmec,HLAS-SD,3192
Ľubomír Vážny,SMER-SD,3181
Ján Mažgút,SMER-SD,3174
Martin Pekár,PS,3162
Viera Kalmárová,PS,3141
Marcela Čavojová,SMER-SD,3121
Branislav Vančo,PS,3061
Jozef Habánik,SMER-SD,3052
Igor Melicher,SMER-SD,2983
Veronika Šrobová,PS,2769
Stanislav Kubánek,SMER-SD,2765
Juraj Gedra,SMER-SD,2688
Augustín Hambálek,SMER-SD,2650
Peter Náhlik,HLAS-SD,2522
Jozef Smatana,SMER-SD,2281
Boris Susko,SMER-SD,2248
Erik Vlček,HLAS-SD,2238
Dušan Galis,SMER-SD,2126
Michal Moško,HLAS-SD,1919
Michal Stuška,SMER-SD,1917
Martin Nemky,SMER-SD,1897
František Petro,SMER-SD,1676
Justín Sedlák,SMER-SD,1599
Dávid Dej,PS,1589
Kamil Šaško,HLAS-SD,1409
Radomír Šalitroš,HLAS-SD,1407
Jozef Valocký,SMER-SD,1392
Ján Kvorka,SMER-SD,1275
Anton Stredák,SMER-SD,1226
Vladimír Faič,SMER-SD,1073
Dušan Muňko,SMER-SD,896
Peter Kalivoda,HLAS-SD,831